Entity,Code,Year,GDP per capita
Montenegro,MNE,2022,20941.805
Morocco,MAR,2022,8400.127
Mozambique,MOZ,2022,1087.836
Myanmar,MMR,2022,5177.4326
Namibia,NAM,2022,7979.328
Nepal,NPL,2022,3013.5178
Netherlands,NLD,2022,49669.867
New Zealand,NZL,2022,38250.12
Nicaragua,NIC,2022,5092.8413
Niger,NER,2022,1007.72095
Nigeria,NGA,2022,5070.4927
North Korea,PRK,2022,1568.847
North Macedonia,MKD,2022,14050.995
Norway,NOR,2022,88366.22
Oman,OMN,2022,47988.65
Pakistan,PAK,2022,5531.723
Palestine,PSE,2022,4775.202
Panama,PAN,2022,23557.02
Paraguay,PRY,2022,8762.771
Peru,PER,2022,12762.967
Philippines,PHL,2022,8370.666
Poland,POL,2022,32468.402
Portugal,PRT,2022,28992.059
Puerto Rico,PRI,2022,35280.668
Qatar,QAT,2022,149171.11
Romania,ROU,2022,26197.904
Russia,RUS,2022,25437.107
Rwanda,RWA,2022,2198.0662
Saint Lucia,LCA,2022,10452.165
Sao Tome and Principe,STP,2022,3751.6428
Saudi Arabia,SAU,2022,53516.91
Senegal,SEN,2022,2660.6816
Serbia,SRB,2022,17097.686
Seychelles,SYC,2022,31055.39
Sierra Leone,SLE,2022,1690.4982
Singapore,SGP,2022,80320.086
Slovakia,SVK,2022,27519.287
Slovenia,SVN,2022,32673.762
South Africa,ZAF,2022,11415.887
South Korea,KOR,2022,41320.9
Spain,ESP,2022,34123.387
Sri Lanka,LKA,2022,10705.481
Sweden,SWE,2022,47126.13
Switzerland,CHE,2022,63323.254
Syria,SYR,2022,2494.7612
Taiwan,TWN,2022,53142.984
Tajikistan,TJK,2022,5507.5454
Tanzania,TZA,2022,3057.3286
Thailand,THA,2022,16421.072
Togo,TGO,2022,1586.5889
Trinidad and Tobago,TTO,2022,25773.006
Tunisia,TUN,2022,10913.846
Turkey,TUR,2022,27361.988
Turkmenistan,TKM,2022,17234.555
Uganda,UGA,2022,2122.0278
Ukraine,UKR,2022,7749.0996
United Arab Emirates,ARE,2022,77203.67
United Kingdom,GBR,2022,38406.53
United States,USA,2022,58487.465
Uruguay,URY,2022,20181.94
Uzbekistan,UZB,2022,12559.401
Venezuela,VEN,2022,5267.1753
Vietnam,VNM,2022,8050.359
Yemen,YEM,2022,1959.3195
Zambia,ZMB,2022,3342.4214
Zimbabwe,ZWE,2022,1703.5294
