Entity,Code,Year,CO₂ emissions per capita
Iraq,IRQ,2022,4.9385333
Ireland,IRL,2022,7.177214
Israel,ISR,2022,6.8401985
Italy,ITA,2022,5.704794
Jamaica,JAM,2022,2.7852037
Japan,JPN,2022,8.237319
Jordan,JOR,2022,1.9924614
Kazakhstan,KAZ,2022,13.693581
Kenya,KEN,2022,0.37868083
Kiribati,KIR,2022,0.53352547
Kosovo,OWID_KOS,2022,4.9881287
Kuwait,KWT,2022,25.242083
Kyrgyzstan,KGZ,2022,1.6551521
Laos,LAO,2022,2.9830346
Latvia,LVA,2022,3.5129132
Lebanon,LBN,2022,2.6739883
Lesotho,LSO,2022,1.1160188
Liberia,LBR,2022,0.16075158
Libya,LBY,2022,8.163843
Liechtenstein,LIE,2022,3.2623925
Lithuania,LTU,2022,4.5777125
Luxembourg,LUX,2022,11.134566
Madagascar,MDG,2022,0.13830549
Malawi,MWI,2022,0.08757896
Malaysia,MYS,2022,8.124508
Maldives,MDV,2022,4.22769
Mali,MLI,2022,0.3042441
Malta,MLT,2022,3.3590784
Marshall Islands,MHL,2022,3.7019005
Mauritania,MRT,2022,1.0803561
Mauritius,MUS,2022,3.3826706
Mexico,MEX,2022,3.5284045
Micronesia (country),FSM,2022,1.2907457
Moldova,MDA,2022,1.7018101
Mongolia,MNG,2022,11.944179
Montenegro,MNE,2022,4.0595264
Morocco,MAR,2022,1.8693061
Mozambique,MOZ,2022,0.28465265
Myanmar,MMR,2022,0.58855194
Namibia,NAM,2022,1.181398
Nauru,NRU,2022,4.9893417
Nepal,NPL,2022,0.5925866
Netherlands,NLD,2022,7.1213217
New Caledonia,NCL,2022,17.816309
New Zealand,NZL,2022,6.229061
Nicaragua,NIC,2022,0.7623672
Niger,NER,2022,0.12645128
Nigeria,NGA,2022,0.58902264
North Korea,PRK,2022,2.13794
North Macedonia,MKD,2022,3.9952326
Norway,NOR,2022,7.4829626
Oman,OMN,2022,16.488375
Pakistan,PAK,2022,0.8697954
Palau,PLW,2022,12.215194
Palestine,PSE,2022,0.8862943
Panama,PAN,2022,2.6602929
Papua New Guinea,PNG,2022,0.82680374
Paraguay,PRY,2022,1.1143297
Peru,PER,2022,1.9352938
Philippines,PHL,2022,1.3246514
Poland,POL,2022,8.20336
Portugal,PRT,2022,3.9092069
Qatar,QAT,2022,37.88961
Romania,ROU,2022,3.8183794
Russia,RUS,2022,11.508876
Rwanda,RWA,2022,0.14337575
Saint Kitts and Nevis,KNA,2022,5.3636484
Saint Lucia,LCA,2022,2.8977146
Saint Vincent and the Grenadines,VCT,2022,2.417115
Samoa,WSM,2022,1.0961072
Sao Tome and Principe,STP,2022,0.59902877
Saudi Arabia,SAU,2022,20.729954
Senegal,SEN,2022,0.8006707
Serbia,SRB,2022,6.547047
Seychelles,SYC,2022,5.0101247
Sierra Leone,SLE,2022,0.17441697
Singapore,SGP,2022,8.6610365
Slovakia,SVK,2022,5.771668
Slovenia,SVN,2022,6.017234
Solomon Islands,SLB,2022,0.36244535
Somalia,SOM,2022,0.07141981
South Africa,ZAF,2022,6.8738866
South Korea,KOR,2022,11.719733
South Sudan,SSD,2022,0.14827313
Spain,ESP,2022,4.8971643
Sri Lanka,LKA,2022,0.80477285
Sudan,SDN,2022,0.35494992
Suriname,SUR,2022,4.537399
Sweden,SWE,2022,3.4653375
Switzerland,CHE,2022,3.7477124
Syria,SYR,2022,1.3989446
Taiwan,TWN,2022,11.698872
Tajikistan,TJK,2022,1.0332633
Tanzania,TZA,2022,0.30446345
Thailand,THA,2022,3.7997093
Togo,TGO,2022,0.30129206
Tonga,TON,2022,1.3951054
Trinidad and Tobago,TTO,2022,25.063381
Tunisia,TUN,2022,2.5401497
Turkey,TUR,2022,5.095457
Turkmenistan,TKM,2022,14.11619
Tuvalu,TUV,2022,1.0978825
Uganda,UGA,2022,0.12952651
Ukraine,UKR,2022,3.4846325
United Arab Emirates,ARE,2022,20.220825
United Kingdom,GBR,2022,4.563232
United States,USA,2022,14.802047
Uruguay,URY,2022,2.212046
Uzbekistan,UZB,2022,3.4089596
Vanuatu,VUT,2022,0.6048438
Venezuela,VEN,2022,3.8430314
Vietnam,VNM,2022,3.2368684
Yemen,YEM,2022,0.27218696
Zambia,ZMB,2022,0.5427949
Zimbabwe,ZWE,2022,0.7612047
